ID	comment	sand(%)	silt(%)	clay(%)	Theta_r	Theta_s	Alpha	N	Ks	psi_inflec
244	NA	8	90	2	0.044	0.5376	0.876	1.65698	6.89028E-06	-0.653172058
245	NA	8	92	0	0.04084	0.55763	1.008	1.64881	8.272E-06	-0.563476202
246	NA	10	0	90	0.10357	0.48867	1.743	1.14026	2.00244E-06	-0.091322454
247	NA	10	2	88	0.10321	0.49233	1.817	1.14118	1.99993E-06	-0.088174827
248	NA	10	4	86	0.10289	0.49559	1.886	1.14344	1.99439E-06	-0.086299882
249	NA	10	6	84	0.10257	0.49841	1.943	1.14686	1.98329E-06	-0.085747643
250	NA	10	8	82	0.1023	0.50079	1.987	1.15119	1.96948E-06	-0.086290919
251	NA	10	10	80	0.1021	0.50275	2.019	1.15624	1.96029E-06	-0.087713899
252	NA	10	12	78	0.10198	0.50434	2.038	1.16188	1.96142E-06	-0.08996763
253	NA	10	14	76	0.10192	0.50559	2.047	1.16806	1.97422E-06	-0.092902649
254	NA	10	16	74	0.10188	0.50652	2.045	1.17477	1.99836E-06	-0.096588504
255	NA	10	18	72	0.10186	0.50717	2.032	1.18207	2.03496E-06	-0.101112137
256	NA	10	20	70	0.10185	0.50756	2.011	1.18999	2.08868E-06	-0.106412319
257	NA	10	22	68	0.10183	0.5077	1.981	1.19858	2.17032E-06	-0.112651019
258	NA	10	24	66	0.10183	0.5076	1.944	1.20791	2.29713E-06	-0.119860059
259	NA	10	26	64	0.10181	0.50726	1.9	1.21803	2.48232E-06	-0.128187197
260	NA	10	28	62	0.1018	0.5067	1.85	1.229	2.71394E-06	-0.137746376
261	NA	10	30	60	0.10176	0.5059	1.793	1.24091	2.92424E-06	-0.148846814
262	NA	10	32	58	0.10169	0.50488	1.731	1.25387	3.05846E-06	-0.161622841
263	NA	10	34	56	0.10157	0.50365	1.663	1.26798	3.02082E-06	-0.176505022
264	NA	10	36	54	0.1014	0.50226	1.592	1.28333	2.75948E-06	-0.193575817
265	NA	10	38	52	0.10115	0.50074	1.52	1.29997	2.41965E-06	-0.212939512
266	NA	10	40	50	0.1008	0.49915	1.449	1.31795	2.1522E-06	-0.234622961
267	NA	10	42	48	0.10034	0.49752	1.379	1.33728	1.95426E-06	-0.25887259
268	NA	10	44	46	0.09974	0.49586	1.31	1.35792	1.80029E-06	-0.285940928
269	NA	10	46	44	0.09896	0.49404	1.241	1.37966	1.68465E-06	-0.316269776
270	NA	10	48	42	0.09798	0.49188	1.171	1.40215	1.60128E-06	-0.350432223
271	NA	10	50	40	0.09673	0.48917	1.098	1.42499	1.53976E-06	-0.389645878
272	NA	10	52	38	0.09514	0.48573	1.022	1.44779	1.48997E-06	-0.435053651
273	NA	10	54	36	0.09316	0.4815	0.945	1.47025	1.44546E-06	-0.487358253
274	NA	10	56	34	0.0909	0.47662	0.871	1.49228	1.40475E-06	-0.54604528
275	NA	10	58	32	0.08854	0.47143	0.8	1.51411	1.37429E-06	-0.612477493
276	NA	10	60	30	0.08618	0.46627	0.736	1.53571	1.36094E-06	-0.684373004
277	NA	10	62	28	0.08379	0.46147	0.68	1.55679	1.36265E-06	-0.759728077
278	NA	10	64	26	0.0814	0.45736	0.634	1.57697	1.37905E-06	-0.833693034
279	NA	10	66	24	0.07901	0.45422	0.597	1.5959	1.41918E-06	-0.903531977
280	NA	10	68	22	0.0766	0.45224	0.57	1.61329	1.50222E-06	-0.963293687
281	NA	10	70	20	0.07412	0.45154	0.551	1.62888	1.64212E-06	-1.011818682
282	NA	10	72	18	0.0715	0.45223	0.54	1.64246	1.8501E-06	-1.04571237
283	NA	10	74	16	0.06867	0.45448	0.538	1.65387	2.13643E-06	-1.060573566
284	NA	10	76	14	0.06556	0.45846	0.543	1.66303	2.51038E-06	-1.0593904
285	NA	10	78	12	0.06216	0.46438	0.556	1.66991	2.98146E-06	-1.040834084
286	NA	10	80	10	0.05847	0.47246	0.579	1.67447	3.56257E-06	-1.003406293
287	NA	10	82	8	0.05455	0.48296	0.611	1.6766	4.2691E-06	-0.952579545
288	NA	10	84	6	0.05056	0.49616	0.658	1.67612	5.11747E-06	-0.884177708
289	NA	10	86	4	0.04672	0.51221	0.723	1.6728	6.13312E-06	-0.802411363
290	NA	10	88	2	0.04318	0.53081	0.812	1.66656	7.35664E-06	-0.710623661
291	NA	10	90	0	0.03998	0.551	0.932	1.6576	8.84187E-06	-0.614264765
292	NA	12	0	88	0.10277	0.48654	1.794	1.13806	1.94154E-06	-0.087340082
293	NA	12	2	86	0.10248	0.49001	1.872	1.13963	1.94116E-06	-0.08464922
294	NA	12	4	84	0.10222	0.49308	1.942	1.14248	1.94003E-06	-0.083254318
295	NA	12	6	82	0.10196	0.4957	2.001	1.14638	1.93507E-06	-0.082992792
296	NA	12	8	80	0.10167	0.49789	2.043	1.15114	1.92584E-06	-0.083898255
297	NA	12	10	78	0.1014	0.49965	2.07	1.15658	1.91749E-06	-0.08573561
298	NA	12	12	76	0.10119	0.50104	2.083	1.16261	1.9181E-06	-0.08841173
299	NA	12	14	74	0.10105	0.5021	2.084	1.16919	1.93299E-06	-0.091849106
300	NA	12	16	72	0.10097	0.50285	2.075	1.17635	1.96399E-06	-0.096022533
